Date,COST,MU,MSFT,AMZN,IBM,AAPL,ORCL,KEY,AEE,MRO,AMGN,UNH,LUV,CSCO,MMM,MS,NKE
1998-09-03,20460000,10226800,67506800,509424000,10089925,409752000,57826200,887600,121800,3587259,9315600,13599200,1963350,100256400,3314600,7892800,12467200
1998-09-04,7448000,7581400,50890400,356244000,8625107,377272000,51078000,871900,144600,4341660,7236800,12001600,2047050,72989400,1959800,11153000,10716000
1998-09-08,9867600,6311800,60625600,438732000,9712110,402796800,44079600,913000,1733500,2561274,13080400,11704000,2927925,103112400,2558800,8295600,10593600
1998-09-09,6526800,8207400,65480800,357924000,10448912,354692800,35885400,1451200,100300,2005365,9877600,8840000,2842650,78987000,2514600,8405800,8844800
1998-09-10,6643000,7855200,60758000,639396000,11672942,526881600,47487000,1485100,142000,4016764,16263600,11754400,2276775,106532400,1993400,8599800,11260000
1998-09-11,3732600,8055000,58989200,472248000,10386989,352284800,146108400,1459000,258200,5646605,22100400,7276800,2841525,81840600,2089400,8014800,6246400
1998-09-14,4163600,4555200,45086800,301200000,9533453,247072000,60785400,1346800,155500,3563453,10130800,5613600,2715525,69817800,3414000,7227000,6228000
1998-09-15,3352400,4388000,49367600,344568000,6792306,433652800,64830600,1538300,139900,1843755,10981200,4095200,2094075,75814200,3273200,6057600,8828800
1998-09-16,5793000,3455200,42886800,782376000,6944185,258876800,56800800,2278300,163500,2461693,10936400,8716000,2050875,59553600,2505000,8671000,9880000
1998-09-17,2974800,11165000,45178400,849156000,9247058,269292800,53653800,684700,137900,1649623,10125200,11760800,1316475,68469600,1713000,7603200,8749600
1998-09-18,3480400,11554400,47361600,334848000,9636170,305076800,47238600,1219500,303600,2984744,10760800,10421600,2095650,77650800,3262000,5718600,23062400
1998-09-21,2756400,11452800,45872000,475344000,9114007,295870400,54644400,537500,108200,1495390,21921200,7776800,1336275,52685200,1947600,4367800,10066400
1998-09-22,3656600,11088200,43082000,606108000,8986395,257936000,52411200,675400,406100,3606706,19374800,7280800,2733075,35666800,1941200,3354600,11498400
1998-09-23,5786000,9734000,65263600,911676000,9059197,287918400,75694200,910300,491400,3677452,14709200,3858400,3985875,66698400,2244200,8937400,8766400
1998-09-24,8148200,5130800,63521600,1022484000,8786818,482843200,48895200,1208500,152100,2075105,8889600,8156800,3782250,55414000,2271000,13468000,13841600
1998-09-25,8211000,12082400,47878400,731976000,7642285,228289600,46425000,1302700,270300,3725398,13053200,13583200,2469825,44434000,2339800,9341000,9012800
1998-09-28,5160200,6870400,41405200,772092000,7992277,405417600,44779200,1399400,163600,2743001,13312000,5143200,2124000,52792000,2257800,8908400,4242400
1998-09-29,6019200,7037400,48743200,766716000,7415931,305132800,72210000,1045500,313400,4329254,10910000,3483200,2840175,74522800,2919000,13731400,5456800
1998-09-30,6409600,4654400,38875600,588612000,8681172,167182400,58888200,859900,189000,7283822,10816800,9376800,4141800,73704000,2592600,12690000,5452000
1998-10-01,10325800,8719000,65442400,687840000,13114120,370216000,66616800,1258700,256800,4432523,11954400,21282400,4414725,146516000,1875600,14319200,5378400
1998-10-02,9697000,9486200,65889600,689916000,15277039,475574400,88020600,948900,426200,7713328,11312800,23016800,2900475,116840800,2564200,12967400,7124800
1998-10-05,5512600,6389800,114937600,489924000,14060332,551880000,104928000,1305500,246100,4707460,11484800,16000000,1814850,256038800,2203800,7730400,5522400
